fire_name,county,cost,burnt_acres,startDate,finishDate,latitude,longitude,injuries,destroyedStructures,threatenedStructures,airtankers,dozers,fireEngines,firePersonnel,fireCrews,helicopters,waterTenders,meanTemp,maxTemp,minTemp,dewPoint,avgHumidity,maxHumidity,minHumidity,fire,maxWind
Oregon Fire Incident Information: ,Butte,0.474,2030,8/11/04 13:55,8/13/04 06:00,37.7294704,-117.6240136,3,17,,,11,110,564,9,7,14,79,97,61,32,17,21,15,1,19
Topanga Fire Incident Information: ,Los Angeles,15.8,24175,9/28/05 13:50,10/6/05 06:00,33.84151604,-118.1516263,31,16,,,4,81,810,14,4,4,,82,52,,,,,1,0
Border 50 Incident Information: ,San Diego,2.6,4100,10/5/05 09:17,10/8/05 19:00,32.6047822,-116.6130731,3,,,,2,17,605,32,,76,66,79,54,16,15,20,9,1,48
Hunt Fire Incident Information: ,Calaveras,,600,8/10/04 17:11,8/13/04 07:00,38.053743,-120.750229,,0,,,,,75,,,,81,99,63,55,47,75,21,1,19
Thurman Fire Incident Information: ,San Bernardino,,935,9/29/05 13:23,10/7/05 18:00,35.58413638,-116.9183181,,,,,,,,,,,,90,63,,,,,1,0
Arrastre Fire Incident Information: ,San Bernardino,,361,6/9/06 12:51,6/9/06 15:33,34.2611183,-116.84503,,,,,,,,,,,,77,52,,,,,1,0
Plunge Fire Incident Information: ,San Bernardino,,485,1/23/06 12:32,6/19/06 15:38,34.2077859,-117.1092049,,,,,,,,,,,,63,37,,,,,1,0
Stevens Fire Incident Information: ,Placer,3.2,934,8/8/04 13:36,8/11/04 19:00,39.1007298,-120.9532759,9,2,,,4,41,858,33,3,9,82,95,68,45,27,38,17,1,16
Paradise Fire Incident Information: ,San Diego,11.3,56700,10/26/03 01:30,11/6/03 07:00,33.2183701,-117.0341967,30,505,,,16,80,788,56,21,10,75,90,61,34,29,88,8,1,16
Calaveras Complex Incident Information: ,Calaveras,5.5,4411,8/7/04 07:00,8/10/04 18:00,38.13526,-120.4557177,14,11,,,1,43,458,10,,,,95,61,,,,,1,0
Cedar Fire Incident Information: ,San Diego,27,273246,10/25/03 17:37,11/5/03 06:00,32.7157305,-117.1610966,118,3031,,,,,1478,,,,63,72,55,59,94,100,68,1,11
Perkins Fire Incident Information: ,Santa Barbara,,15043,6/19/06 15:18,6/25/06 19:00,34.104581,-117.939645,,,,,,,,,,,,82,52,,,,,1,0
Straylor Fire Incident Information: ,Lassen,10.4,3422,7/22/04 16:03,7/30/04 06:00,41.005339,-121.43875,10,0,,,8,51,1145,40,3,26,,,,,,,,1,0
Simi Fire Incident Information: ,Ventura,10,108204,10/25/03 14:15,11/5/03 10:00,34.285859,-118.881421,21,326,,,26,111,131,51,10,7,79,86,70,27,16,23,12,1,11
Volcan Fire Incident Information: ,San Diego,4.4,685,9/6/05 11:28,9/13/05 07:00,33.1129685,-116.5824219,6,41,,,1,16,411,14,3,7,72,91,48,25,26,47,5,1,26
Mataguay Fire Incident Information: ,San Diego,1.8,8867,7/13/04 12:30,7/16/04 06:00,33.2769753,-116.6494394,7,4,,,3,10,168,9,1,5,70,75,64,63,83,94,62,1,16
Manton Fire Incident Information: ,Tehama,2.9,1830,8/26/05 15:00,8/29/05 07:00,40.4358746,-121.8622164,3,31,,,1,79,1272,39,3,15,79,99,57,39,33,62,6,1,21
Yorba Linda Fire Incident Information: ,Orange,2.8,1078,7/5/05 14:06,7/9/05 06:00,33.8885035,-117.8132571,9,,,,,15,533,20,,4,,88,55,,,,,1,0
Mountain Fire Incident Information: ,Riverside,1.8,10331,10/26/03 11:45,10/30/03 06:00,33.6607732,-117.8411332,7,64,,,,,339,,,,,73,46,,,,,1,0
Paradise Fire Incident Information: ,San Bernardino,,3022,6/22/05 12:53,6/24/05 07:00,34.046867,-116.580728,1,7,,1,5,50,1030,37,5,7,,84,54,,,,,1,0
Otay Fire Incident Information: ,San Diego,,46291,10/26/03 13:00,10/27/03 19:00,34.20616562,-121.3080002,1,6,,,,4,138,9,2,,,,,,,,,1,0
Blaisdell Fire Incident Information: ,San Bernardino,,,8/26/05 21:40,9/29/05 17:47,33.8302961,-116.5452921,,,,,,,,,,,,91,61,,,,,1,0
Honeydew and Canoe Fires Incident Information: ,Humboldt,28.7,11861,9/3/03 14:00,10/6/03 18:00,40.0983553,-123.7948432,64,2,,,11,61,1146,28,4,12,,63,52,,,,,1,0
Soboba Fire Incident Information: ,Riverside,1.7,2080,6/22/05 12:00,6/25/05 08:00,33.7907997,-116.9271306,2,,,,5,40,778,36,3,10,,82,52,,,,,1,0
Sims Fire Incident Information: ,Trinity,,,7/28/04 12:00,8/5/04 12:41,39.8669604,-123.2209934,,,,,,,,,,,,,,,,,,1,0
36 Fire Incident Information: ,Tehama,0.842,2876,8/10/05 17:25,8/12/05 06:00,40.3595937,-122.894741,1,,,,11,51,965,37,1,8,,95,61,,,,,1,0
Quartz Fire Incident Information: ,Madera,0.718,550,7/25/05 12:06,7/27/05 07:00,37.2621686,-119.7009834,3,2,,,16,85,780,24,2,7,88,104,70,48,35,61,9,1,26
Parkhill Fire Incident Information: ,San Luis Obispo,1.1,1200,7/20/03 14:55,7/23/03 07:00,35.23662713,-119.9400095,4,18,,,1,25,428,17,5,2,68,82,54,55,78,96,49,1,13
Eagle Fire Incident Information: ,Riverside,4.9,8900,5/2/04 15:14,5/7/04 19:00,33.93666239,-116.3771261,8,41,,,10,114,215,48,4,5,,72,46,,,,,1,0
Crown Fire and Foothill Fire Incident Information: ,Los Angeles,,,7/23/04 19:00,7/23/04 19:00,34.34376517,-118.3831201,,,,,,,,,,,64,68,63,55,69,76,62,1,6
Cerritos Fire Incident Information: ,Riverside,2.3,16460,5/3/04 13:31,5/7/04 19:00,33.8752935,-117.5664384,10,24,,,,,475,,,,,73,45,,,,,1,0
Del Puerto Fire Incident Information: ,Stanislaus,2.2,5909,7/20/03 10:08,7/24/03 07:00,38.19388772,-121.020914,10,2,,,4,25,507,20,1,4,,90,57,,,,,1,0
Pine Fire Incident Information: ,Los Angeles,,,7/12/04 12:50,7/22/04 09:00,34.45419092,-117.9448554,,,,,,,,,,,82,99,68,45,27,41,16,1,6
Cachuma Fire Incident Information: ,Santa Barbara,,,5/3/04 12:00,5/8/04 18:00,34.4724267,-120.1192045,,,,,,,,,,,,68,48,,,,,1,0
Canyon Fire Incident Information: ,Riverside,2.9,4300,7/25/03 13:27,7/29/03 07:00,33.7839084,-116.958635,2,6,,,10,5,189,5,1,1,,88,55,,,,,1,0
Santa Clara Complex Incident Information: ,Santa Clara,10.5,30170,8/25/03 22:00,9/3/03 19:00,37.25223448,-121.158674,4,1,,,2,1,246,4,2,11,,72,54,,,,,1,0
Gaviota Fire Incident Information: ,Santa Barbara,6.4,7440,6/5/04 11:57,6/12/04 06:00,34.4162768,-119.6920172,44,4,,,11,46,1370,20,14,4,63,73,54,55,79,96,61,1,19
Coyote Fire Incident Information: ,San Diego,10.3,18705,7/16/03 13:19,7/24/03 19:00,36.50472285,-117.6001968,14,21,,,4,5,743,24,2,15,,,,,,,,1,0
Goodale Fire Incident Information: ,Inyo,,3750,6/26/06 14:34,6/29/06 18:00,37.513555,-118.6349235,,,,,,,,,,,82,100,64,37,20,37,8,1,42
Lassen/Modoc Lightning Fires Incident Information: ,Lassen,,3500,6/25/06 17:00,7/5/06 07:00,36.778261,-119.4179324,,,,,,,,,,,90,106,75,59,36,54,20,1,16
Del Puerto Fire Incident Information: ,Stanislaus,3.5,2593,6/30/06 11:48,7/4/06 06:00,37.4227341,-121.3806971,3,,,,5,35,784,28,,2,,72,50,,,,,1,0
Pedro Fire Incident Information: ,Tuolumne,3,1998,7/3/06 12:39,7/7/06 07:00,37.87549999,-120.5768908,,,,,9,40,1188,46,4,6,,93,57,,,,,1,0
Canyon Fire Incident Information: ,Stanislaus,14.5,34217,7/9/06 15:55,7/19/06 07:00,37.4434397,-121.2954081,10,22,,,9,62,1105,34,3,6,,70,52,,,,,1,0
Arco Fire Incident Information: ,Kern,,698,7/9/06 16:38,7/12/06 07:00,35.04522413,-118.254907,,,,,,,,,,,88,104,72,45,23,41,12,1,34
Sawtooth Complex Incident Information: ,San Bernardino,16.8,61700,7/9/06 08:30,7/19/06 18:30,34.1141743,-116.432235,18,486,,1,2,23,861,24,10,5,,88,57,,,,,1,0
Midway Fire Incident Information: ,Alameda,,6400,7/11/06 15:20,7/12/06 07:00,37.7149019,-121.5588433,0,,,3,3,20,,2,3,,68,81,57,52,64,83,35,1,34
Cary Fire Incident Information: ,Riverside,,81,7/12/06 12:39,7/12/06 19:00,33.76976035,-117.4000445,,,,,,,,,,,,88,55,,,,,1,0
Heart-Millard Complex Incident Information: ,San Bernardino,,24000,7/14/06 07:22,9/10/06 19:00,36.778261,-119.4179324,,,,,,,,,,,86,102,70,52,35,63,11,1,19
Ore Fire Incident Information: ,El Dorado,,40,7/16/06 17:30,7/16/06 19:00,37.94792848,-120.6692344,,,,,,,,,,,,95,61,,,,,1,0
Geysers Fire Incident Information: ,Mendocino,,321,7/17/06 16:40,7/19/06 19:00,39.30717777,-123.6217847,,,,,,,,,,,86,108,64,54,37,73,12,1,16
29 Fire Incident Information: ,Lake,1.4,550,7/17/06 20:55,7/22/06 07:00,38.7524578,-122.6152093,1,5,,,5,11,212,13,2,3,,81,54,,,,,1,0
Creek Fire Incident Information: ,Lassen,3.5,1611,7/18/06 16:26,7/23/06 07:00,40.390398,-120.7166295,,,,0,1,31,444,17,,11,,88,46,,,,,1,0
Hub Fire Incident Information: ,Calaveras,,130,7/19/06 15:00,7/22/06 07:00,37.9810358,-120.6418716,,,,,,,,,,,86,100,72,55,41,76,20,1,26
Covington Fire Incident Information: ,San Bernardino,,280,7/20/06 12:00,7/22/06 07:00,34.0941981,-116.3703948,,,,,,,,,,,,90,59,,,,,1,0
Three Rocks Fire Incident Information: ,Fresno,,6500,7/22/06 20:00,7/24/06 07:00,36.62823715,-119.446951,,,,,,,,,,,99,111,84,63,33,56,15,1,16
Coyote Complex Incident Information: ,Riverside,,460,7/23/06 02:11,7/27/06 07:00,33.4830862,-116.5848223,,,,,,,,,,,,90,59,,,,,1,0
Horse Fire Incident Information: ,San Diego,6.8,16681,7/23/06 06:04,7/30/06 07:00,32.8150695,-116.6358544,23,,,2,6,55,859,13,3,9,88,102,73,55,32,52,18,1,35
Whispering Pines Fire Incident Information: ,San Bernardino,,993,7/23/06 01:15,7/26/06 07:00,34.0680974,-117.9250442,,,,,,,,,,,,88,55,,,,,1,0
Rico Fire Incident Information: ,Monterey,4,14507,7/22/06 18:04,7/28/06 19:00,35.57259714,-119.9687761,13,1,30,,5,15,238,2,0,8,90,115,68,55,32,59,12,1,26
San Rafael Lightning Complex Incident Information: ,Santa Barbara,,2026,7/23/06 13:00,7/30/06 19:00,33.9504364,-120.3284918,,,,,,,,,,,,,,,,,,1,0
Mt. Pinos Lightning Complex Incident Information: ,Kern,,3179,7/23/06 13:30,7/30/06 07:00,34.766763,-119.0661994,,,,,,,,,,,108,129,84,66,42,73,23,1,14
Auberry Complex Incident Information: ,Fresno,0.6,300,7/23/06 19:30,7/27/06 07:00,37.1134599,-119.5036149,2,,,,2,46,475,15,,3,100,113,90,61,28,43,16,1,27
Empire Fire Incident Information: ,Los Angeles,1.2,1094,7/22/06 08:12,7/28/06 07:00,33.4047828,-118.4153865,2,,,,,2,6,,,,90,100,82,55,30,39,24,1,26
Oak Fire Incident Information: ,Riverside,,225,7/23/06 01:00,7/26/06 07:00,33.38238938,-117.3693792,,,,,,,,,,,,88,55,,,,,1,0
SHF Lightning Complex Incident Information: ,Siskiyou,,31,7/23/06 18:01,7/31/06 19:00,41.8862278,-123.0825805,,,,,,,,,,,90,108,75,61,38,60,20,1,21
Uncles Complex Incident Information: ,Siskiyou,,30454,7/23/06 13:00,10/23/06 17:00,40.1876368,-122.8801574,,,,,,,,,,,,97,63,,,,,1,0
Shasta Fire Incident Information: ,Shasta,1.1,225,7/25/06 15:52,7/30/06 07:00,40.6804279,-122.3708419,1,,,,1,4,90,4,,4,,97,63,,,,,1,0
Bar Complex (Pigeon Fire) Incident Information: ,Trinity,,100414,7/26/06 17:05,11/15/06 08:00,40.7309778,-122.9419708,,,,,,,,,,,,97,63,,,,,1,0
Lakin Fire Incident Information: ,Siskiyou,,480,7/25/06 14:00,7/10/06 19:00,39.80417387,-123.5125019,,,,,,,,,,,,59,52,,,,,1,0
Hunter Fire Incident Information: ,Mendocino,,16296,7/24/06 17:45,8/16/06 19:00,39.5580482,-123.7915928,,,,,,,,,,,63,68,55,55,75,94,64,1,10
Sage Fire Incident Information: ,Modoc,,6200,7/26/06 10:30,8/5/06 07:00,41.484114,-120.539992,,,,,,,,,,,77,99,55,39,32,67,9,1,24
Happy Camp Fire Incident Information: ,Siskiyou,,6134,7/23/06 01:01,9/24/06 17:30,39.94187681,-122.0128765,,,,,,,,,,,95,113,79,63,32,64,13,1,21
Kingsley Complex Incident Information: ,Mendocino,,6854,7/25/06 05:30,8/7/06 07:00,39.65406487,-122.9723612,,,,,,,,,,,88,109,66,59,46,78,14,1,16
Junction Fire Incident Information: ,Trinity,5.4,3126,7/29/06 12:20,8/2/06 18:00,40.47808481,-123.450214,6,1,,,3,65,831,27,1,8,,61,52,,,,,1,0
Mountain Fire Incident Information: ,Riverside,,113,8/8/06 10:36,8/9/06 19:00,33.9255713,-116.8764103,,,,,,,,,,,,91,61,,,,,1,0
Golf Fire Incident Information: ,Riverside,,800,8/8/06 14:13,8/10/06 19:00,33.7559326,-116.9583343,,,,,,,,,,,,91,57,,,,,1,0
Orleans Complex Incident Information: ,Humboldt,,15710,7/24/06 11:55,11/8/06 07:00,40.74737392,-123.8894873,,,,,,,,,,,61,66,55,55,91,100,70,1,14
Creek Fire Incident Information: ,Riverside,,200,8/12/06 15:15,8/14/06 07:00,33.77534979,-116.6393935,,,,,,,,,,,,91,61,,,,,1,0
Gilman Fire Incident Information: ,Riverside,,360,8/12/06 17:04,8/14/06 19:00,33.71264954,-116.2386425,,,,,,,,,,,88,102,75,36,13,19,9,1,34
Quail Fire Incident Information: ,Los Angeles,2.2,4864,8/13/06 12:33,8/16/06 07:00,33.91674342,-118.5942657,3,3,0,,8,90,1355,53,2,10,75,91,57,57,63,93,24,1,11
Marysville Fire Incident Information: ,Yuba,,442,8/16/06 13:05,8/19/06 08:00,39.3715576,-121.2060694,,1,,,,10,231,10,,6,73,82,64,43,34,56,19,1,23
Rollins Fire Incident Information: ,Nevada,,37,8/19/06 14:38,8/21/06 08:00,39.1958045,-120.9151729,,,,4,2,19,70,1,4,,79,90,66,45,32,43,20,1,16
Foresthill Fire Incident Information: ,Placer,,45,8/20/06 16:00,8/21/06 16:45,38.9344057,-121.0043342,,,0,,,,,,,,79,90,68,43,30,40,17,1,19
Boundary Fire Incident Information: ,Mariposa,,536,8/21/06 15:00,8/28/06 07:00,37.75016166,-120.7946559,,,,,,,,,,,73,91,57,54,49,78,30,1,23
Middle T Fire Incident Information: ,Tuolumne,,451,7/20/06 16:01,8/28/06 07:00,38.19842203,-120.4547555,,,,,,,,,,,,93,61,,,,,1,0
Cross Fire Incident Information: ,Los Angeles,,665,8/28/06 10:39,8/29/06 19:00,33.91823664,-117.8366572,,,,,,,,,,,,90,57,,,,,1,0
Plymouth Fire / Big Fire Incident Information: ,Amador,,42,8/28/06 12:00,8/29/06 19:00,38.61105773,-120.6000521,,,,,,,,,,,81,93,70,48,34,53,20,1,16
Emerald Fire Incident Information: ,San Bernardino,,2129,8/29/06 15:05,9/1/06 07:00,35.29427932,-117.5977473,,,,,,,,,,,82,102,63,32,19,34,4,1,34
Deer Fire Incident Information: ,El Dorado,,75,8/31/06 17:00,9/1/06 07:00,38.695667,-121.003642,,,,,,,,,,,79,91,66,43,30,43,21,1,14
51 Fire Incident Information: ,El Dorado,,46,9/2/06 22:00,9/3/06 19:00,38.84314674,-119.8248753,,,,,,,,,,,,73,41,,,,,1,0
Day Fire Incident Information: ,Ventura,,162702,9/4/06 13:55,10/2/06 18:30,34.4302634,-118.769354,,,,,,,,,,,90,106,72,54,33,44,23,1,14
Sawmill Fire Incident Information: ,Mono,,7434,9/14/06 15:47,9/23/06 18:00,38.43715496,-118.8967936,,,,,,,,,,,,70,37,,,,,1,0
Ranch Fire Incident Information: ,Riverside,,1658,9/17/06 11:32,9/18/06 19:00,33.67287622,-117.4280112,,,,,,,,,,,66,95,39,39,49,93,6,1,21
Orchard Fire Incident Information: ,Riverside,,1536,9/16/06 14:30,9/18/06 07:00,33.9728889,-116.9774753,,,,,,,,,,,70,90,50,46,57,90,10,1,26
Pinnacles Fire Incident Information: ,San Bernardino,,2370,9/19/06 09:29,9/23/06 06:00,34.2483396,-117.1892078,,,,,,,,,,,64,88,41,43,51,86,23,1,24
Mule Fire Incident Information: ,El Dorado,,70,9/19/06 13:50,9/21/06 08:00,38.7658942,-120.8199252,,,,,,,,,,,66,79,55,45,43,72,21,1,21
Pines Fire Incident Information: ,Los Angeles,,113,9/19/06 15:08,9/23/06 06:00,34.2702093,-118.1534315,,,,,,,,,,,73,129,57,39,32,55,19,1,16
Napa Fire Incident Information: ,Napa,1.9,387,9/22/06 08:04,9/24/06 17:00,38.38237784,-122.3276479,2,0,,,,35,252,22,,,70,88,55,30,25,77,10,1,45
Walker Fire Incident Information: ,Los Angeles,,206,9/23/06 15:56,9/25/06 11:30,34.24734549,-118.2639396,,,,,,,,,,,70,82,57,48,59,100,20,1,24
Noble Fire Incident Information: ,Mendocino,7.1,1014,9/24/06 18:46,10/1/06 07:00,39.9660063,-123.7950389,4,,,,2,50,911,28,5,9,61,64,57,46,58,68,49,1,13
Skunk Fire Incident Information: ,El Dorado,,80,10/24/06 14:00,10/25/06 07:00,38.85070483,-120.0662333,,,,,,,,,,,,63,30,,,,,1,0
Felter Fire Incident Information: ,Santa Clara,,200,10/25/06 14:30,10/26/06 07:30,37.4427838,-121.8369173,,,,,,,,,,,,72,45,,,,,1,0
Sierra Fire Incident Information: ,San Bernardino,,640,11/6/06 07:30,11/7/06 17:00,33.96106128,-119.9265196,,,,,4,33,250,6,3,2,68,88,46,43,47,80,13,1,26
Lookout Fire Incident Information: ,Riverside,0.654,290,11/12/06 16:30,11/14/06 08:00,33.67048202,-116.1169921,,,,,3,37,39,20,3,5,66,77,54,27,37,62,12,1,32
Jefferson Fire Incident Information: ,San Bernardino,,125,11/21/06 22:18,11/23/06 19:00,34.033625,-117.0430865,,,,,,,,,,,55,75,37,46,81,100,29,1,21
Shekell Fire Incident Information: ,Ventura,4.5,13600,12/3/06 02:30,12/6/06 08:00,34.2944023,-118.9222651,2,0,,,5,135,1450,41,3,18,52,57,46,16,22,27,18,1,23
Westside Fire Incident Information: ,Kern,0.74,4025,12/7/06 18:01,12/10/06 08:00,34.8013678,-118.8753743,,,,,5,4,52,2,5,5,70,79,63,32,24,31,20,1,19
Sequoia Fire Incident Information: ,Ventura,,367,12/8/06 12:05,12/9/06 08:00,34.80491935,-118.7662914,,,,,,,,,,,64,75,50,37,43,78,28,1,11
241 / Windy Ridge Fire Incident Information: ,Orange,,2036,3/11/07 07:53,3/13/07 14:00,33.8243778,-117.7164654,,,,,,,,,,,,66,41,,,,,1,0
Las Flores Fire Incident Information: ,San Bernardino,,4100,3/31/07 10:40,4/2/07 18:30,36.22129778,-119.4633309,,,,,,,,,,,63,82,43,39,50,89,20,1,11
James Fire Incident Information: ,Kern,,1350,4/29/07 14:54,5/3/07 11:00,35.7546732,-118.4253627,,,,,,,,,,,79,91,66,,,,,1,27
Island Fire Incident Information: ,Los Angeles,,4750,5/10/07 12:30,5/15/07 07:00,33.3428193,-118.3282279,,,,,,,,,,,70,75,63,30,25,33,18,1,24
Wofford Fire Incident Information: ,Kern,,525,5/13/07 14:06,5/15/07 08:00,35.7546732,-118.4253627,,,,,,,,,,,73,91,57,,,,,1,34
Del Puerto Fire Incident Information: ,Stanislaus,,155,5/15/07 03:00,5/15/07 17:00,37.4434397,-121.2954081,,,,,,,,,,,,68,46,,,,,1,0
Braye Fire Incident Information: ,Yolo,,450,5/18/07 21:16,5/21/07 06:30,38.5135183,-122.1038609,,,,,,,,,,,59,75,43,45,61,89,36,1,35
Gorman Fire Incident Information: ,Los Angeles,,2050,5/19/07 13:52,5/23/07 08:00,34.7960902,-118.8525956,,,,,,,,,,,,73,54,,,,,1,0
Honey Fire Incident Information: ,Butte,,688,5/22/07 15:15,5/23/07 19:00,33.6749667,-117.2472039,,,,,,,,,,,61,70,52,52,72,94,53,1,24
Bolli Fire Incident Information: ,Shasta,,730,5/22/07 07:25,5/28/07 08:00,40.5572715,-122.3604471,,,,,,,,,,,,81,54,,,,,1,0
Larsen Fire Incident Information: ,Mono,,1080,6/1/07 20:00,6/11/07 08:00,38.5517103,-119.5031121,,,,,,,,,,,,63,34,,,,,1,0
Goldledge Fire Incident Information: ,Tulare,,4196,6/3/07 11:30,7/14/07 07:00,33.7217617,-117.7800353,,,,,,,,,,,68,79,55,55,74,89,47,1,27
Dye Fire Incident Information: ,Tehama,,387,6/13/07 15:35,6/15/07 20:00,40.49242129,-121.9434236,,,,,,,,,,,86,102,70,45,24,44,9,1,34
White Fire Incident Information: ,Kern,9.8,12400,6/24/07 08:57,7/3/07 19:30,34.03107841,-116.6935795,6,32,0,,,12,105,3,,2,,86,54,,,,,1,0
Angora Fire Incident Information: ,El Dorado,11.7,3100,6/24/07 14:10,7/3/07 08:00,38.939926,-119.9771868,3,364,0,,1,13,260,4,1,1,,82,46,,,,,1,0
Deer Fire Incident Information: ,San Diego,,60,7/1/07 13:37,7/3/07 08:00,35.30405324,-121.5918992,,,,,,,,,,,,57,50,,,,,1,0
Banner Fire Incident Information: ,San Diego,,110,7/1/07 14:30,7/3/07 08:00,36.69332412,-120.6162821,,,,,,,,,,,73,93,55,43,37,64,14,1,23
Rancho Fire Incident Information: ,Santa Barbara,,482,6/30/07 17:56,7/3/07 19:00,34.37799369,-119.4040888,,,,,,,,,,,68,77,59,57,70,90,50,1,21
Bayne Fire Incident Information: ,El Dorado,,80,7/1/07 15:00,7/3/07 08:00,38.80013,-120.8560676,,,,,,,,,,,73,88,61,43,36,59,11,1,19
Zaca Fire Incident Information: ,Santa Barbara,118.3,240207,7/4/07 10:53,9/4/07 08:00,34.0601978,-118.3726536,43,1,,,9,26,988,21,3,30,88,104,72,48,30,47,15,1,14
Antelope Complex Incident Information: ,Plumas,,22902,7/5/07 16:00,7/14/07 20:00,40.1783333,-120.5783333,,,,,,,,,,,,86,46,,,,,1,0
Inyo Complex Incident Information: ,Inyo,,35176,7/6/07 13:40,7/14/07 20:00,37.8527024,-118.2862411,,,,,,,,,,,82,102,64,32,16,32,7,1,35
Canyon Fire Incident Information: ,Los Angeles,0.5,815,7/7/07 14:35,7/9/07 08:00,34.466452,-118.3279167,,,,,,9,167,7,,,82,100,64,54,43,71,22,1,11
Elk Complex Incident Information: ,Siskiyou,,17684,7/10/07 22:00,9/17/07 07:30,41.7963785,-123.3749138,,,,,,,,,,,,,,,,,,1,0
Fletcher Fire Incident Information: ,Modoc,,8121,7/10/07 13:15,7/19/07 19:00,33.7086562,-117.7717959,,,,,,,,,,,70,79,59,59,74,93,54,1,24
China-Back Complex Incident Information: ,Siskiyou,,2906,7/10/07 00:00,7/19/07 19:00,41.715694,-122.6377053,,,,,,,,,,,75,99,54,48,42,69,15,1,11
Seven Eleven Fire Incident Information: ,Del Norte,,140,7/11/07 01:00,7/16/07 19:30,41.8454831,-123.969508,,,,,,,,,,,57,64,52,52,88,100,63,1,14
Colby Fire Incident Information: ,Tehama,,260,8/10/07 15:00,8/13/07 07:00,39.89836189,-121.8675473,,,,,,,,,,,79,93,64,48,37,63,17,1,14
Tar Fire Incident Information: ,Fresno,5.6,5644,8/10/07 17:34,8/17/07 19:00,36.0041223,-120.1290272,3,,,,1,6,219,8,1,6,79,99,61,48,36,75,15,1,19
80 Fire Incident Information: ,Nevada,,78,8/22/07 13:46,8/24/07 20:00,38.93303931,-120.4468715,,,,,,,,,,,81,95,64,52,36,52,28,1,16
Snow Fire Incident Information: ,San Bernardino,,100,8/21/07 11:57,8/25/07 18:30,33.7467471,-116.7152556,,,,,,,,,,,,91,61,,,,,1,0
Italian Fire Incident Information: ,Tuolumne,,102,8/22/07 23:00,8/24/07 19:30,38.0459422,-120.3941868,,,,,,,,,,,,90,57,,,,,1,0
Wallow Fire Incident Information: ,Trinity,,1440,8/29/07 14:00,9/3/07 07:30,40.5543106,-123.1830839,,,,,,,,,,,,91,59,,,,,1,0
Grouse Fire Incident Information: ,Tulare,,1022,8/27/07 12:00,9/17/07 07:30,36.3127167,-118.3220313,,,,,,,,,,,,,,,,,,1,0
Stevens Fire Incident Information: ,Santa Clara,,151,8/30/07 12:30,9/2/07 08:00,37.2975101,-122.0795202,,,,,,,,,,,,73,52,,,,,1,0
Quien Fire Incident Information: ,Monterey,,486,8/30/07 03:45,9/3/07 09:30,35.33726811,-120.9829556,,,,,,,,,,,,59,52,,,,,1,0
Butler Fire Incident Information: ,San Bernardino,,85,9/1/07 00:30,9/4/07 18:00,34.2598792,-116.9980576,,,,,,,,,,,,88,59,,,,,1,0
North Fire Incident Information: ,Los Angeles,,2200,9/2/07 14:30,9/8/07 08:00,34.44245448,-117.9710546,,,,,,,,,,,97,109,82,61,32,43,23,1,13
Lazy Fire Incident Information: ,Trinity,,599,8/29/07 13:40,9/10/07 13:00,39.7929324,-123.2480687,,,,,,,,,,,,,,,,,,1,0
